Filename,PofB10,PofB15,PofB20,PofB25,PofB30,PofB35,PofB40,PofB45,PofB50,PofB55,PofB60,PofB65,PofB70,PofB75,PofB80,PofB85,PofB90,PofB95,PofB100,Average_Pofb,NPofB10,NPofB15,NPofB20,NPofB25,NPofB30,NPofB35,NPofB40,NPofB45,NPofB50,NPofB55,NPofB60,NPofB65,NPofB70,NPofB75,NPofB80,NPofB85,NPofB90,NPofB95,NPofB100,NAverage_Pofb
ant_5_1_bayesNet.csv,0.0875,0.1,0.1,0.1,0.1375,0.175,0.2125,0.225,0.275,0.3,0.325,0.375,0.3875,0.4875,0.525,0.6,0.6625,0.7375,1,0.358552632,0.1,0.125,0.175,0.225,0.2375,0.2875,0.3375,0.35,0.375,0.375,0.375,0.3875,0.4125,0.4875,0.525,0.6,0.7125,0.8375,1,0.417105263
ant_5_1_begging.csv,0,0.05,0.0875,0.0875,0.1125,0.1375,0.175,0.2125,0.25,0.3,0.325,0.3625,0.4375,0.475,0.4875,0.5625,0.5875,0.825,1,0.340789474,0.175,0.2125,0.275,0.3625,0.4125,0.475,0.5375,0.5875,0.6125,0.65,0.6625,0.675,0.6875,0.7625,0.8125,0.875,0.925,0.975,1,0.614473684
ant_5_1_decisionTable.csv,0.05,0.1125,0.15,0.175,0.175,0.175,0.2625,0.3125,0.3375,0.35,0.3875,0.3875,0.4,0.4375,0.4875,0.7375,0.875,0.9625,1,0.409210526,0.3,0.35,0.4,0.4875,0.5125,0.6125,0.675,0.7,0.725,0.775,0.8,0.8375,0.8625,0.875,0.875,0.9,0.9125,0.9375,1,0.7125
ant_5_1_ibk.csv,0.1,0.15,0.2,0.2375,0.2625,0.2625,0.2625,0.5,0.625,0.675,0.7625,0.825,0.875,0.9125,0.925,0.95,0.975,1,1,0.605263158,0.1125,0.1875,0.2375,0.275,0.3,0.3,0.3,0.5,0.625,0.675,0.7625,0.825,0.875,0.9125,0.925,0.95,0.975,1,1,0.617763158
ant_5_1_j48.csv,0.075,0.1125,0.125,0.1375,0.1875,0.225,0.2375,0.2375,0.2625,0.4625,0.6375,0.7125,0.775,0.8375,0.9125,0.9375,0.9625,0.9875,1,0.517105263,0.1625,0.225,0.2875,0.35,0.4375,0.4875,0.4875,0.5,0.55,0.5875,0.6625,0.7125,0.775,0.8375,0.9125,0.9375,0.9625,0.9875,1,0.624342105
ant_5_1_kStar.csv,0.063291139,0.088607595,0.101265823,0.139240506,0.151898734,0.189873418,0.253164557,0.278481013,0.35443038,0.417721519,0.607594937,0.670886076,0.784810127,0.82278481,0.873417722,0.962025316,0.974683544,1,1,0.512325117,0.0875,0.1375,0.175,0.2125,0.225,0.2375,0.2375,0.3375,0.425,0.5625,0.6375,0.725,0.8125,0.85,0.875,0.95,0.9625,0.9875,1,0.549342105
ant_5_1_logistic.csv,0.025,0.025,0.0625,0.0625,0.0875,0.15,0.1875,0.2,0.25,0.25,0.275,0.3,0.3375,0.425,0.45,0.525,0.6125,0.7375,1,0.313815789,0.075,0.1,0.125,0.175,0.2125,0.275,0.325,0.375,0.4,0.4,0.4375,0.4625,0.55,0.6875,0.825,0.9125,0.925,0.9625,1,0.485526316
ant_5_1_naiveBayes.csv,0.0125,0.025,0.0625,0.0875,0.1,0.125,0.175,0.2125,0.2625,0.2875,0.3,0.35,0.3625,0.4375,0.4375,0.55,0.65,0.725,1,0.324342105,0.075,0.125,0.1875,0.225,0.2625,0.3,0.3125,0.325,0.3625,0.3625,0.3625,0.375,0.3875,0.4375,0.475,0.5375,0.6375,0.75,1,0.394736842
ant_5_1_randomForest.csv,0.075,0.075,0.1125,0.1375,0.15,0.1875,0.2375,0.25,0.275,0.3125,0.375,0.4125,0.4625,0.4875,0.575,0.6875,0.775,0.8875,1,0.393421053,0.2,0.2375,0.3125,0.375,0.45,0.5125,0.5375,0.5875,0.625,0.625,0.625,0.675,0.7625,0.7625,0.8125,0.8375,0.85,0.8875,1,0.614473684
ant_5_1_smo.csv,0.05,0.1,0.125,0.1875,0.2125,0.2125,0.2125,0.2125,0.5,0.6,0.65,0.7375,0.8125,0.8125,0.875,0.95,0.975,1,1,0.538157895,0.05,0.1,0.125,0.1875,0.2125,0.2125,0.2125,0.2125,0.5,0.6,0.65,0.7375,0.8125,0.8125,0.875,0.95,0.975,1,1,0.538157895
